Drug,ATC3
Desonide 0.05% Cream,D07A
flon,D07A
Spiriva Respimat 2.5mcg/act,D07A
adapalene,A11D
adapalene,D07A
Calcitrate-Vitamin D,A12C
Calcitrate-Vitamin D,N02A
Calcitrate-Vitamin D,D07A
Calcitrate-Vitamin D,D10A
Melatonin ,D07A
Norethindrone Acetate,N01A
Norethindrone Acetate,D07A
protriptyline,N06A
protriptyline,D07A
MethylPREDNISolone Sodium Succ,D07A
Vitamin B Complex,D07A
Ayr Saline Gel,A12A
Ayr Saline Gel,D07A
Methylprednisolone,N05B
Methylprednisolone,D07A
MEDROL,D07A
SOLU-MedroL,D07A
Granisetron,N05A
Granisetron,N02A
Granisetron,A06A
Granisetron,A04A
Granisetron,D07A
apremilast (Otezla),D07A
Mesalamine DR 800mg TAB,D07A
Fluticasone,D07A
cromolyn,A02B
cromolyn,R03A
cromolyn,D07A
cromolyn,A07E
gilteritinib,A01A
gilteritinib,A06A
gilteritinib,D07A
Escitalopram Oxalate,N06A
Escitalopram Oxalate,D07A
Escitalopram Oxalate,N02A
1,C02A
1,S01A
1,C01B
1,A09A
1,J01D
1,S01F
1,M03B
1,D08A
1,D07A
MethylPREDNISolone,D07A
Anoro Ellipta (umeclidinium-vilanterol),D07A
clobetasol,B03B
clobetasol,D07A
flona,D07A
Pilocarpine HCl,D07A
Pilocarpine HCl,N07A
methylPREDNISolone acetate,D07A
Flonase,N03A
Flonase,R03D
Flonase,D07A
aspirin,N03A
aspirin,A01A
aspirin,N02A
aspirin,D07A
0,A12C
0,C02A
0,B05C
0,S01E
0,D05A
0,N01B
0,R03A
0,S01H
0,G01A
0,D07A
0,M02A
Methylprednisolone Na Succ,D07A
CLOBEX,D07A
Symbicort (160/4.5),D07A
prednisolone acetate,A07E
prednisolone acetate,A06A
prednisolone acetate,A03F
prednisolone acetate,D07A
prednisolone acetate,B03B
prednisolone acetate,A12A
Desonide,D07A
Polyethylene Glycol 400 (Bulk),D07A
Polyethylene Glycol 400 (Bulk),C07A
Clobetasol Propionate 0.05% Gel,D07A
Methylprednisolone Acetate,D07A
Clobetasol Propionate 0.05% Cream,D07A
Axert,N02A
Axert,D07A
Nitroglycerin SL,A12C
Nitroglycerin SL,A01A
Nitroglycerin SL,N02A
Nitroglycerin SL,C01D
Nitroglycerin SL,D07A
Prenatal Gummies (CVS),D07A
Adderall,A12C
Adderall,A07D
Adderall,N02A
Adderall,N06B
Adderall,D07A
Morphine Sulfate IR,N02A
Morphine Sulfate IR,D07A
Methylprednisolone ACETATE,D07A
Pristiq ER,C01D
Pristiq ER,A12A
Pristiq ER,D07A
MethylPREDNISolone Na Suc,D07A
Cod Liver Oil,D07A
Fluticasone ,D07A
cyproheptadine,N02A
cyproheptadine,D07A
cyproheptadine,A07E
Oxytrol,A06A
Oxytrol,D07A
Clobetasol Propionate 0.05% Soln,D07A
Fluticasone Propionate 110mcg,H01B
Fluticasone Propionate 110mcg,D07A
Tafamidis (Vyndamax),D07A
Sorafenib,L01X
Sorafenib,B05C
Sorafenib,J01C
Sorafenib,D07A
Sorafenib,A12A
isavuconazonium sulfate,D11A
isavuconazonium sulfate,D07A
Clobetasol,D07A
Dasatinib 20mg tablet,D07A
Lutera (28),A12C
Lutera (28),N06A
Lutera (28),D07A
Perforomist,J01F
Perforomist,A12A
Perforomist,D07A
Perforomist,A01A
Flovent Diskus,A12C
Flovent Diskus,C05A
Flovent Diskus,C08C
Flovent Diskus,D07A
Suprep Bowel Prep Kit,A12A
Suprep Bowel Prep Kit,N06A
Suprep Bowel Prep Kit,D07A
Suprep Bowel Prep Kit,A11G
flonas,D07A
Reguloid (psyllium husk),D07A
Clobetasol Propionate 0.05% Ointment,D07A
flutic,D07A
omeprazole magnesium,A12A
omeprazole magnesium,D07A
Fluticasone Propionate NASAL,D07A
MethylPREDNISolone Sod Succ ,D07A
trospium,A01A
trospium,D07A
trospium,C07A
Medrol,A06A
Medrol,D07A
fluticasone propionate,D07A
famotidine,A02B
famotidine,D07A
ZyrTEC (cetirizine),D07A
TraZODone,N06A
Doxepin HCl,A06A
Doxepin HCl,N06A
oxcarbazepine,A06A
oxcarbazepine,N06A
oxcarbazepine,N05B
oxcarbazepine,A07E
cariprazine,N03A
cariprazine,A10A
cariprazine,N06A
Amitriptyline HCl,N06A
Magnesium,A06A
Magnesium,N06A
CeleXA,N06A
Tranylcypromine Sulfate,N06A
Epiduo,N06A
fluvoxaMINE,N06A
amoxapine,N06A
effexor,N06A
sertraline,N01A
sertraline,N06A
eletriptan,N06A
Triumeq (600-50-300),N06A
Levodopa-benserazide 50/12.5,N06A
lutein,N06A
lutein,B05C
Imipramine,N06A
Optivar,N06A
Dymista (Azelastine/Flutacasone),N06A
BuPRopion,N06A
Ortho TRI-Cyclen (28),N06B
Ortho TRI-Cyclen (28),N06A
Citalopram Hydrobromide,N06A
Autodrop,N06A
Venlafaxi,N06A
Gildess FE,B03B
Gildess FE,N06A
citalopram,N06A
citalopram,A07E
Gattex (teduglutide),N06A
Imip,N06A
buPROPion HCl,N06A
Duloxetine,N06A
Kariva,A12C
Kariva,A01A
Kariva,N02A
Kariva,D04A
Kariva,N06A
venlafaxine,N06A
tretinoin (chemotherapy),N06A
tretinoin (chemotherapy),B05C
tretinoin (chemotherapy),D10A
Eletriptan HBr,N06A
Eletriptan HBr,N02A
Escita,N06A
Bupropion,N06A
Movantik (naloxegol),A10A
Movantik (naloxegol),N06A
Movantik (naloxegol),N02A
Exelon 4.6mg/24 hour patch,N06A
Enablex (darifenacin),N06A
Enablex (darifenacin),R05D
buPROPion,N06A
Levodopa-benserazide 100/25,N06A
Diflunisal,A12C
Diflunisal,N06A
doxepin,A12C
doxepin,N06A
doxepin,N02A
Amino Acids 5%-Dextrose 15%,N06A
BuP,N06A
Focalin (dexmethylphenidate),N06A
Nephramine 2.7%,N06A
Januvia (sitagliptin),N06A
tea tree oil,N06A
Mobic,N05A
Mobic,A01A
Mobic,M01A
Mobic,D04A
Mobic,N06A
traZODONE,N06A
Venlafaxin,N06A
Micardis,N06A
Micardis,C09C
Insulin TUOJEO,N06A
Sertraline,A06A
Sertraline,N06A
Sertraline,R03A
Nortriptyline,N06A
letrozole,A12C
letrozole,C03B
letrozole,J01F
letrozole,A04A
letrozole,D06B
letrozole,L02B
letrozole,N06A
Baclofen 4000mcg/mL,N06A
Durezol 0.05% drops,A12C
Durezol 0.05% drops,N06A
alpha lipoic acid,N06A
alpha lipoic acid,N02A
FLUoxetine,N06A
FLUoxetine,M01A
Vigamox,A10A
Vigamox,J01M
Vigamox,A06A
Vigamox,B05C
Vigamox,D04A
Vigamox,C09A
Vigamox,H04A
Vigamox,C10A
Vigamox,N06A
Vigamox,A12A
Latuda,N05A
Latuda,A01A
Latuda,N02A
Latuda,N06A
Latuda,N05B
Latuda,A12A
arginine (L-arginine) 1000mg,N06A
Levoxyl (levothyroxine),N06A
Sronyx,N06A
Aubagio,N06A
Nefazodone HCl,N06A
Prezcobix,A10A
Prezcobix,N06A
Prezcobix,N05B
Afatinib,N06A
wellb,N06A
well,N06A
Mirtazapine,N06A
Nuvigil,N04B
Nuvigil,A06A
Nuvigil,N06A
Parnate,N05A
Parnate,N06A
Nefazodon,N06A
buprop,N06A
diflorasone,N06A
diflorasone,N02A
Wellbutrin SR,A12C
Wellbutrin SR,C01E
Wellbutrin SR,N06A
Wellbutrin SR,N05B
Wellbutrin SR,A12A
Amitriptyline,N06A
Amitriptyline,A04A
Tra,N06A
Orphenadrine Compound,A06A
Orphenadrine Compound,N06A
Orphenadrine Compound,A03A
bupropion,N06A
Ampyra,A12C
Ampyra,N02A
Ampyra,A06A
Ampyra,D04A
Ampyra,C02D
Ampyra,N06A
Amino Acids 4.25%-Dextrose 5%,N06A
Neupro (rotigotine),N06A
Neupro (rotigotine),A12A
BuPRO,N06A
clindamycin-benzoyl peroxide,N06A
clindamycin-benzoyl peroxide,A04A
ferrous sulfate,A06A
ferrous sulfate,N06A
ferrous sulfate,R03A
ferrous sulfate,A12A
bupr,N06A
ascorbic acid (vitamin C),N06A
Vosevi,N06A
Oxybutynin Patch 3.9mg,N06A
butorphanol tartrate,N06A
Tradjenta,A10B
Tradjenta,A07E
Tradjenta,R03A
Tradjenta,C02D
Tradjenta,N06A
Odefsey,A01A
Odefsey,A10A
Odefsey,A06A
Odefsey,N03A
Odefsey,N06A
Odefsey,A12A
Odefsey,C07A
Bupropion HCl,C01E
Bupropion HCl,N06A
Cymbalta,N06A
brexpiprazole  (Rexulti),N06A
Venlafaxine,N06A
Fluoxetine,N06A
Fluvoxamine ,N06A
Venlaf,N06A
B-50,N06A
Nasonex Nasal Spray,N06A
Belviq (lorcaserin),N06A
suvorexant,N06A
suvorexant,N02A
dextroamphetamine ER,N06A
Venlafax,N06A
Ocella 3,N06A
norgestrel-ethinyl estradiol (Cryselle),N06A
Lexapro,A06A
Lexapro,N06A
PARoxetine HCl,N06A
BuPROPion ,N06A
BuPROPi,N06A
Fluvoxamine Maleate,N06A
bup,N06A
BuPR,N06A
Wellbutrin ,N06A
mirtazapine,N06A
flurbiprofen,N06A
O,H01B
O,N02A
O,S01A
O,A14A
O,S01E
O,J01D
O,S01K
O,G04B
O,S01H
O,A04A
O,N06A
O,A03A
O,H01C
O,V03A
O,G03A
Fenofibrate 200mg Cap,N06A
Desipramine,N06A
Escitalopram,N06A
Paroxetine,N06A
Celexa,N06A
Celexa,C08C
imipramine HCl,N06A
BuPROPion (Sustained Release),N06A
ClomiPRAMINE,N06A
Phenelzine Sulfate,N06A
BuPROPion XL 150mg  Tab (Once Daily),N06A
bupro,N06A
eslicarbazepine,N03A
eslicarbazepine,N06A
fluticasone-salmeterol,N06A
fluticasone-salmeterol,R03A
fluticasone-salmeterol,A12A
Cartia XT,H03A
Cartia XT,N06A
traZ,N06A
Venlafa,N06A
Bupro,N06A
prasterone (dhea),A06A
prasterone (dhea),N06A
icosapent ethyl (Vascepa),N06A
Ocuflox,J01M
Ocuflox,N06A
Ocuvite Lutein & Zeaxanthin,N06A
Ocuvite Lutein & Zeaxanthin,C07A
BuPROPion,N06A
diflunisal,A02B
diflunisal,A12C
diflunisal,N06A
Glimepiride,A10B
Glimepiride,N06A
Glimepiride,N02A
wellbut,N06A
Venlafaxine XR,N06A
Remeron,N06A
Testim 1%,N06A
Apri 0.15mg/0.03mg TAB,N06A
esomeprazole magnesium (nexium),N06A
Telaprevir ,N06A
Bu,N06A
etodolac,N05A
etodolac,N06A
etodolac,M01A
Wellbutrin,A06A
Wellbutrin,N06A
Leukeran,N06A
Citalopram ,N06A
Paroxetine HCl,N06A
Amino Acids 4.25% W/ Dextrose 5%,N06A
Citalopram,N06A
Citalopram,C02D
Tenormin,C05A
Tenormin,N06A
Tenormin,C08C
Tenormin,C07A
BuPROPio,N06A
Microgestin 1.5/30 (21),N06A
Bosutinib,N06A
PARoxetine,N06A
PARoxetine,A07E
Evista,C10A
Evista,G03X
Evista,N06A
lamotrigine (Lamictal Brand) NF,N06A
Mirapex,A06A
Mirapex,C02D
Mirapex,N04B
Mirapex,N06A
Mirapex,C07A
BuPROP,N06A
vitamin A,G02C
vitamin A,N06A
vitamin A,J01D
Domperidone 10mg,A10A
Insulin Lispro Desensitization Protocol,A10A
Lokelma,A10A
Humalog Mix 75-25,A10A
Apidra,A06A
Apidra,A10A
Apidra,A02B
Insulin Human Regular (Dilute),A10A
Pancreaze,A10A
Pancreaze,A09A
Pancreaze,H04A
Pancreaze,A04A
Pancreaze,C08C
magnesium gluconate,A06A
magnesium gluconate,A10A
insulin lispro,A10A
Insulin regular,A10A
Humulin R,A10A
ropinirole ER,A10A
Lidocaine (Bristojet),A10A
Zomig (zolmitriptan),A10A
Basaglar KwikPen U-100 Insulin,A10A
candesartan,A10A
candesartan,C09C
candesartan,J01C
NovoLIN N NPH U-100 Insulin,A10A
Arimidex,A10A
Arimidex,C01D
Arimidex,A02B
Arimidex,H04A
Arimidex,L02B
Arimidex,A12A
Prevacid,A02B
Prevacid,A10A
Prevacid,N05B
selegiline (Emsam),A10A
tetrabenazine 25mg tablet,A10A
Breo Ellipta (fluticasone-vilanterol),A10A
Midazolam 2mg/2mL 2mL Vial,A10A
Midazolam 2mg/2mL 2mL Vial,B02B
Midazolam 2mg/2mL 2mL Vial,B05C
Midazolam 2mg/2mL 2mL Vial,C08D
Midazolam 2mg/2mL 2mL Vial,C02D
Midazolam 2mg/2mL 2mL Vial,N03A
lantus,A10A
insuli,A10A
Humulin-R Insulin (U-500),A06A
Humulin-R Insulin (U-500),A10A
Clonazepam,A12C
Clonazepam,A10A
Clonazepam,N05A
Clonazepam,A07E
Clonazepam,B05C
Clonazepam,D04A
Clonazepam,N03A
Clonazepam,N05B
timolol,N05A
timolol,A10A
timolol,B05C
timolol,A02B
timolol,C09A
(,A10A
(,N02A
(,R03D
(,J07A
(,J01X
(,L01C
Insulin Regular Human (U-500),A10A
Vit eyes,A10A
insul,A10A
Insulin Reg Human (NovoLIN R),A10A
Tetrabenazine (Xenazine),A10A
lactase,A06A
lactase,N03A
lactase,A10A
lactase,A07D
OxyCONTIN 15mg Tab,N03A
OxyCONTIN 15mg Tab,A10A
Depakote (divalproex),A10A
Depakote (divalproex),D04A
Nevanac (nepafenac) ,A10A
Omega XL,A10A
dorzolamide,A06A
dorzolamide,A10A
dorzolamide,B05C
dorzolamide,S01E
diclofenac sodium 1%,A10A
diclofenac sodium 1%,C03B
One A Day Womens Prenatal DHA,A02B
One A Day Womens Prenatal DHA,A10A
alprazolam,A12C
alprazolam,A10A
alprazolam,A01A
alprazolam,N05A
alprazolam,C02A
alprazolam,N05B
sitaGLIPtin 50mg tab (Januvia),A10A
novolin,A10A
Rosuvastatin,C10A
Rosuvastatin,A10A
Rosuvastatin,A07E
HumaLOG Mix 75-25 KwikPen,N04A
HumaLOG Mix 75-25 KwikPen,A10A
HumaLOG Mix 75-25 KwikPen,N02A
tofacitinib (Xeljanz),A06A
tofacitinib (Xeljanz),A10A
"Levemir Flexpen,3ml pen, 100u/ml",A10A
HumaLOG,A10A
NiCARdipine 40mg/200mL 200mL BAG,A12C
NiCARdipine 40mg/200mL 200mL BAG,A10A
ferric citrate,A10A
ferric citrate,H04A
ferric citrate,J01C
Ranitidine,A02B
Ranitidine,A12C
Ranitidine,A10A
Ranitidine,A12A
tapentadol,A06A
tapentadol,C02C
tapentadol,A10A
tapentadol,N02A
Artificial Tears (PF)- GenTeal Eye Gel,A10A
Artificial Tears (PF)- GenTeal Eye Gel,D06A
NatureMade Prenatal MULTI,A10A
brinzolamide-brimonidine,A06A
brinzolamide-brimonidine,A10A
brinzolamide-brimonidine,S01E
OxyCODONE (Immediate Release),A06A
OxyCODONE (Immediate Release),A10A
OxyCODONE (Immediate Release),N02A
Slow-Mag,N04B
Slow-Mag,A10A
"prenat.vits,cal,min-iron-folic",A10A
Insul,A10A
Sodium Bicarbonate 8.4% (Nephron),A10A
Sodium Bicarbonate 8.4% (Nephron),J01C
Cranberry,M03B
Cranberry,A10A
insulin ,A10A
testosterone enanthate,A10A
testosterone enanthate,A12A
insulin aspart,A10A
brexpiprazole 3 mg,A10A
Travatan,N03A
Travatan,A10A
Travatan,N02A
Travatan,S01E
Apidra SoloStar U-100 Insulin,A10A
Apidra SoloStar U-100 Insulin,B05C
Apidra SoloStar U-100 Insulin,C02D
"Creon 36,000-114,000-180,000",A10A
Vraylar,N03A
Vraylar,A12C
Vraylar,A10A
calcium citrateCalcium Citrate + D with Mag    ,A10A
irbesartan 300mg,A10A
clonazePAM (NF) ,A10A
Toujeo,A10A
Insulin detemir,A06A
Insulin detemir,A10A
Insulin detemir,C08C
Insulin detemir,A02B
SymlinPen 60,A06A
SymlinPen 60,A10A
SymlinPen 60,H04A
SymlinPen 60,A07D
bosentan,A06A
bosentan,A10A
bosentan,D11A
Ozempic,A10A
insulin glargine,A10A
HumaLOG KwikPen Insulin ,A12C
HumaLOG KwikPen Insulin ,A10A
Prenatal One,A06A
Prenatal One,A10A
Prenatal One,H04A
Prenatal One,A07E
Flomax,A10A
terbinafine HCl,L04A
terbinafine HCl,A10A
terbinafine HCl,D10A
creatine monohydrate (bulk),A10A
creatine monohydrate (bulk),A12A
creatine monohydrate (bulk),A04A
Voltaren (diclofenac),A10A
dorzolamide-timolol (PF),A12C
dorzolamide-timolol (PF),A10A
milnacipran (savella),A10A
mineral oil,A06A
mineral oil,A10A
Zenpep 20000,A10A
Levemir FlexTouch U-100 Insuln,A10A
Levemir FlexTouch U-100 Insuln,B05C
BenGay Greaseless,A10A
insulin lispro (for Insulin PUMP),A10A
Oxycodone-Acetaminophen Elixir,A10A
),A10A
),N02A
),R03D
),J07A
),J01X
),L01C
Selegiline 6mg/24hr,A10A
Triumeq  (abacavir-dolutegravir-lamivud),A10A
Lantus,A10A
Lantus,J01M
Lantus,B05C
Lantus,V03A
Apidra SoloStar,N03A
Apidra SoloStar,H03B
Apidra SoloStar,A10A
Alvesco,A10A
Alvesco,J01M
Alvesco,R03A
Alvesco,B05C
Zanamivir,R05C
Zanamivir,A10A
Zanamivir,D11A
Zanamivir,J01D
OsmoPrep ,A10A
Enbrel,L04A
Enbrel,A10A
Enbrel,C01B
Enbrel,A05A
Centrum Silver Ultra Mens,A10A
Exenatide,A10A
Trulicity (dulaglutide) ,A10A
HumuLIN R U-500 Concentrated,A10A
camphor-menthol,A10A
Insulin (Regular) Intraperitoneal,A10A
Rexulti(Brexipiprazole),A10A
Insulin detemir (Levimir),R06A
Insulin detemir (Levimir),A10A
Byetta (exenatide),A10A
Byetta (exenatide),N02A
NovoLOG PenFill,A10A
Pramlintide,A02B
Pramlintide,A10A
colesevelam,C10A
colesevelam,N05A
colesevelam,A10A
colesevelam,A07E
Maxalt,A10A
Maxalt,N02C
Maxalt,A04A
Maxalt,C07A
NovoLIN R Regular U-100 Insuln,A10A
Lantus Solostar U-100 Insulin,C03D
Lantus Solostar U-100 Insulin,A10A
Lantus Solostar U-100 Insulin,J01M
Humalog U-100 Insulin,A10A
Nintedanib (Ofev),A10A
zenpep 20000 units,A10A
Prograf,A10A
Prograf,D11A
Sodium Chloride 3% (Hypertonic),A12C
Sodium Chloride 3% (Hypertonic),A10A
dulaglutide,A10A
dulaglutide,B05C
 L-Citrulline,A10A
Aspirin,A06A
Aspirin,A01A
Aspirin,A10A
Aspirin,B05C
cycloSPORINE modified,L04A
cycloSPORINE modified,A10A
gla,A10A
Insulin Aspart *NF* (for Insulin PUMP),A10A
Insu,A10A
Insulin ,A10A
Flintstones Multi-Vit Gummies,A12C
Flintstones Multi-Vit Gummies,A10A
QNASL,A10A
novolin r,A10A
Insulin Glargine  (CVICU Protocol),A10A
Toujeo Max SoloStar,A10A
Dilantin Infatabs,N03A
Dilantin Infatabs,A10A
Ex-Lax Maximum Strength,A10A
Ex-Lax Maximum Strength,B02B
HumuLIN R,A10A
Insulin (Regular),A10A
Insuli,A10A
Buprenorphine,A10A
Buprenorphine,N02A
Insulin,B03B
Insulin,A10A
Insulin,N02A
Insulin,C02A
Humulin 70/30,A10A
insulin glulisine,A10A
glimepiride,A06A
glimepiride,A12C
glimepiride,A10A
glimepiride,A10B
Xalatan (Latanoprost),A10A
Insulin levemir,A10A
Insulin levemir,N02A
NovoLIN R,A10A
Insulin lispro,A10A
Envarsus XR,A10A
Envarsus XR,A07E
Allegra-D 12 Hour,A06A
Allegra-D 12 Hour,A10A
octreotide (Sandostatin LAR),A10A
Insulin Lispro,A10A
Nitromist,A10A
arginine HCl (L-arginine),A10A
arginine HCl (L-arginine),B05C
L-Arginine(alpha-ketoglutarat),A10A
nebivolol (Bystolic),A10A
Insulin Glargine,A10A
Venetoclax,A12C
Venetoclax,A10A
Venetoclax,N05A
Venetoclax,A07E
Venetoclax,D04A
Venetoclax,R06A
NOVOR100I,A10A
HumaLOG Insulin,A10A
*NF* Insulin Reg Human (NovoLIN R),A10A
Tresiba ,A10A
Humalog Mix 50-50 KwikPen,A10A
SUMAtriptan Injection USP,A10A
Humalog KwikPen ,A10A
Valsartan-HCTZ,A01A
Valsartan-HCTZ,A10A
humalog,A10A
tapentadol (NUCYNTA),A10A
vibegron,A10A
NovoLOG U-100 Insulin aspart *PMTO*,A10A
topical cream metered-dose dev,A10A
dapagliflozin,A10A
levocarnitine,R03D
levocarnitine,A10A
levocarnitine,A07D
insulin,A10A
octreotide LAR 10mg depot,A10A
octreotide LAR 10mg depot,A04A
naloxegol (Movantik),A10A
QVAR beclomethasone dipropionate,A12C
QVAR beclomethasone dipropionate,A10A
Insulin Regular Human,A10A
Insulin Human Regular,A10A
Dabrafenib (Tafinlar),A10A
novolog,A10A
carbidopa-levodopa (Rytary),A10A
CeFAZolin Duple 2g/50mL 50mL BAG,A10A
Magonate,A10A
lenvatinib,A10A
Lumigan (bimatoprost),A10A
dextromethorphan HBr,A10A
nf-tacrolimus,A10A
Novolog Mix 70-30 FlexPen,A10A
Novolog Mix 70-30 FlexPen,N02A
Novolog Mix 70-30 FlexPen,D11A
Novolog Mix 70-30 FlexPen,C01B
Novolog Mix 70-30 FlexPen,H04A
Novolog Mix 70-30 FlexPen,V03A
Lioresal,A10A
bosentan(Tracleer),A10A
Gas-X Extra Strength,A10A
Zioptan (PF),C10A
Zioptan (PF),A01A
Zioptan (PF),A10A
Abilify,N05A
Abilify,A10A
Xalatan,H03A
Xalatan,A10A
Xalatan,S01E
HumaLOG U-100 Insulin,A10A
Insulin (Regular,A10A
levETIRAcetam XR,A10A
Ondansetron 4mg/2mL 2mL VIAL,C01D
Ondansetron 4mg/2mL 2mL VIAL,C01E
Ondansetron 4mg/2mL 2mL VIAL,A10A
Ondansetron 4mg/2mL 2mL VIAL,N02A
senna,A06A
senna,A10A
insulin lispro protam-lispro,A10A
sToujeo SoloStar U-300 Insulin,A10A
Novolin 70/30 FlexPen 100 units/mL,A10A
Toujeo SoloStar U-300 Insulin,A10A
Toujeo SoloStar U-300 Insulin,B05C
DiphenhydrAMIN 50mg/1mL 1mL VIAL,A10A
Insulin Lispro 75/25,A10A
HumuLIN 70/30,A10A
y,C04A
y,H01B
y,C01D
y,B03X
y,B02B
y,J01G
y,J01F
y,D04A
y,C03A
y,R02A
y,D06B
y,J01A
y,G03A
y,A06A
y,S01K
y,H03B
y,C01C
y,R03D
y,N04A
y,B06A
y,G02A
y,D10A
y,J01X
y,C05B
y,J06B
y,A10A
y,A11H
y,C02D
y,H03A
y,G04B
y,B05X
brimonidine-timolol 0.2-0.5%,A10A
HumaLOG Mix 75-25,A10A
Lantus U-100 Insulin,A10A
Novolog U-100 Insulin aspart,A10A
netarsudiL-latanoprost,A10A
 (Uptravi)selexipag,A10A
Rhopressa,A10A
Rhopressa,A06A
Rhopressa,C02D
Rhopressa,N05B
Rhopressa,C07A
NovoLOG U-100 Insulin aspart,A10A
NovoLOG U-100 Insulin aspart,A12A
naloxegol,A10A
Humulin N KwikPen,A10A
INSU500I,A10A
Symbicort (budesonide/formoterol),A10A
Glucosamine Sulf-Chondroitin,A10A
Janumet XR (sitagliptin/metformin),A10A
"Creon 36,000-114,000-180,000 units",A10A
Levemir Flexpen 100 unit/ml,A10A
Insulin (Regular) for Hyperkalemia,A10A
Norethindrone-Estradiol Fe 1/20,A10A
Mekinist,A12C
Mekinist,A10A
Mekinist,R05D
Domperidone,A12C
Domperidone,A10A
Domperidone,B05C
Domperidone,A12A
Tigan,A10A
Voltaren 1% gel,A10A
netarsudil 0.02%,A10A
Vicodin ES,A10A
Vicodin ES,C01B
Insulin (Regular) ,A10A
ZOLMitriptan 5mg,A10A
Levemir Flex Pen,A10A
domperidone,A10A
domperidone,A06A
domperidone,M03B
domperidone,G04C
domperidone,N05B
lorlatinib,A10A
Votrient (pazopanib),A10A
Insulin Human 70/30,A10A
k,A10A
k,D08A
k,C09X
divalproex DR,A10A
divalproex DR,D04A
Potassium Chl 40 mEq / 1000 mL D5NS,B05C
Calcium carbonate,B05C
Lumigan(bimatoprost),B05C
sodium bicarbonate,B05C
selegiline,N04B
selegiline,N03A
selegiline,A06A
selegiline,B05C
Combigan (brimonidine-timolol),A06A
Combigan (brimonidine-timolol),N02A
Combigan (brimonidine-timolol),B05C
Combigan (brimonidine-timolol),A04A
OxyCODONE (Immediate Rel 5mg TAB,A12C
OxyCODONE (Immediate Rel 5mg TAB,B05C
OxyCODONE (Immediate Rel 5mg TAB,A12A
norethindrone (Camila contraceptive),B05C
liraglutide ,B05C
alirocumab,A12A
alirocumab,B03B
alirocumab,B05C
Abiraterone,B05C
Calcium 600 + D,B05C
Calcium 600 + D,J01D
Nitroglyce 100mg/250mL 250mL BTL,B05C
brinzolamide,B05C
brinzolamide,S01E
brinzolamide,R03A
brinzolamide,H03A
brinzolamide,A12A
sodiu,B05C
Potassium Chl 20 mEq / 1000 mL D5NS,B05C
sodium b,B05C
sodium bicarbon,B05C
Ombitasvir/Paritaprevir/ritonavir ,B05C
Ombitasvir/Paritaprevir/ritonavir ,A07E
Calcitrate 500 IU,B05C
ruxolitinib 15 mg ORAL *NF*,B05C
Polytrim,A02B
Polytrim,A06A
Polytrim,B05C
NAC,B05C
NAC,C07A
Sodium Bicarbonate 4 %,B05C
D5W (EXCEL BAG),B05C
Potassium Chl 40 mEq / 1000 mL NS,B05C
sodium bic,B05C
Dextrose 5%  (*Glass Bottle*),B05C
Calcium Chloride (Bristojet),A12A
Calcium Chloride (Bristojet),B05C
Ibrutinib,A12C
Ibrutinib,B05C
Vitamin K-1 (100mcg),B05C
sodium bi,B05C
Brinzolamide 1% Ophth (*NF* ),B05C
Brinzolamide 1% Ophth (*NF* ),S01E
ketamine (bulk),C08C
ketamine (bulk),H03A
ketamine (bulk),B05C
leflunomide,N02A
leflunomide,A06A
leflunomide,B05C
leflunomide,L04A
leflunomide,M04A
leflunomide,C07A
sodium bicarb,B05C
Avandia,A10B
Avandia,B05C
D5 1/4NS,B05C
Zepatier,A12C
Zepatier,B05C
levomilnacipran,B05C
Benazepril,C09A
Benazepril,B05C
Prednisolone Acetate,B05C
Prednisolone Acetate,A07E
D5W,B05C
Sodium ,B05C
sodium,B05C
M-Vit (Doctor's Choice Eye Formula),B05C
Sodium Bicarbo,B05C
Potassium Chl 40 mEq / 1000 mL D5 1/2 NS,B05C
Vyzulta,B05C
dextrose,B05C
Potassium Chl 20 mEq / 1000 mL D5W,B05C
Caplyta,B05C
loperamide,A07D
loperamide,N02A
loperamide,B05C
loperamide,J01X
loperamide,A02B
loperamide,A12A
goly,B05C
selexipag *NF* 400 mcg,B05C
sodium ,B05C
Steglatro,B05C
Stalevo ,N03A
Stalevo ,A12C
Stalevo ,B05C
Stalevo ,A12A
phenytoin sodium extended,N03A
phenytoin sodium extended,J01C
phenytoin sodium extended,B05C
Tykerb,N05B
Tykerb,B05C
sucroferric oxyhydroxide,B05C
sodium bica,B05C
dalfampridine (Ampyra),B05C
Dextrose 20% in Water (D20W),B05C
ZegERID,R03A
ZegERID,B05C
ZegERID,D04A
Levonorg-Eth Estrad Triphasic,B05C
Savella,A07D
Savella,A07E
Savella,B05C
Savella,D04A
Savella,A02B
Savella,C09A
Savella,C10A
Savella,P01B
arformoterol,A12C
arformoterol,B05C
Zofran,A12C
Zofran,B05C
Zofran,A04A
Nascobal (Cyancanobalmin),B05C
5% Dextrose,B05C
tobramycin-dexamethasone,J01G
tobramycin-dexamethasone,B05C
Probiotic Formula,H04A
Probiotic Formula,B05C
clonazepam,N03A
clonazepam,A06A
clonazepam,B05C
clonazepam,N04B
clonazepam,A11G
Florastor 250mg Capsule,B05C
Golytely,B05C
Lunesta (eszopiclone),A12C
Lunesta (eszopiclone),B05C
Lunesta (eszopiclone),A01A
rizatriptan,A12C
rizatriptan,N05A
rizatriptan,N02A
rizatriptan,A01A
